User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration
2001,Premium,10,09-07-22,08-07-23,Spain,41,Female,Smart TV,1 Month
2002,Basic,10,09-07-22,11-07-23,Spain,30,Female,Smartphone,1 Month
2003,Standard,11,10-07-22,08-07-23,United States,41,Male,Tablet,1 Month
2004,Standard,12,12-07-22,08-07-23,Canada,48,Female,Laptop,1 Month
2005,Basic,10,13-07-22,09-07-23,United States,35,Female,Laptop,1 Month
2006,Premium,13,16-07-22,10-07-23,United States,41,Female,Laptop,1 Month
2007,Basic,10,17-07-22,07-07-23,Canada,39,Female,Smart TV,1 Month
2008,Standard,10,26-07-22,09-07-23,United Kingdom,45,Male,Laptop,1 Month
2009,Premium,10,31-07-22,09-07-23,Australia,41,Male,Laptop,1 Month
2010,Basic,13,03-08-22,10-07-23,Germany,28,Male,Laptop,1 Month
2011,Premium,10,15-08-22,07-07-23,France,28,Female,Tablet,1 Month
2012,Basic,15,18-08-22,10-07-23,Brazil,48,Male,Smart TV,1 Month
2013,Standard,10,27-08-22,08-07-23,Mexico,40,Female,Smart TV,1 Month
2014,Standard,12,29-08-22,10-07-23,Spain,39,Male,Smart TV,1 Month
2015,Basic,12,05-09-22,07-07-23,Italy,27,Male,Smartphone,1 Month
2016,Premium,10,06-09-22,11-07-23,Spain,32,Female,Smart TV,1 Month
2017,Basic,10,14-09-22,08-07-23,Spain,38,Male,Laptop,1 Month
2018,Standard,10,16-09-22,09-07-23,United States,41,Female,Laptop,1 Month
2019,Premium,10,18-09-22,10-07-23,Canada,32,Female,Laptop,1 Month
2020,Basic,12,23-09-22,11-07-23,United States,37,Male,Tablet,1 Month
2021,Basic,12,25-09-22,08-07-23,United States,50,Female,Laptop,1 Month
2022,Basic,10,06-10-22,09-07-23,Canada,48,Female,Laptop,1 Month
2023,Standard,11,09-10-22,10-07-23,United Kingdom,37,Male,Tablet,1 Month
2024,Premium,13,11-10-22,11-07-23,Australia,46,Female,Laptop,1 Month
2025,Basic,13,12-10-22,08-07-23,Germany,46,Male,Laptop,1 Month
2026,Basic,15,13-10-22,09-07-23,France,39,Male,Smart TV,1 Month
2027,Premium,13,17-10-22,10-07-23,Brazil,42,Female,Smart TV,1 Month
2028,Standard,11,19-10-22,10-07-23,Mexico,41,Female,Smartphone,1 Month
2029,Standard,10,21-10-22,07-07-23,Spain,28,Male,Smart TV,1 Month
2030,Basic,14,23-10-22,09-07-23,Italy,43,Male,Tablet,1 Month
2031,Premium,14,25-10-22,10-07-23,Spain,45,Female,Smart TV,1 Month
2032,Standard,10,27-10-22,09-07-23,Spain,45,Male,Smart TV,1 Month
2033,Basic,13,31-10-22,07-07-23,United States,48,Male,Smartphone,1 Month
2034,Standard,12,02-11-22,09-07-23,Canada,30,Male,Laptop,1 Month
2035,Premium,11,04-11-22,10-07-23,United States,51,Female,Smart TV,1 Month
2036,Basic,12,05-11-22,09-07-23,United States,48,Female,Smartphone,1 Month
2037,Premium,13,06-11-22,07-07-23,Canada,41,Female,Smart TV,1 Month
2038,Standard,11,07-11-22,10-07-23,United Kingdom,37,Female,Smartphone,1 Month
2039,Basic,11,08-11-22,09-07-23,Australia,43,Male,Laptop,1 Month
2040,Standard,15,08-11-22,08-07-23,Germany,51,Male,Laptop,1 Month
2041,Premium,10,09-11-22,07-07-23,France,34,Female,Smartphone,1 Month
2042,Basic,10,09-11-22,10-07-23,Brazil,35,Female,Smartphone,1 Month
2043,Standard,12,05-11-22,09-07-23,Mexico,45,Female,Smart TV,1 Month
2044,Premium,12,05-11-22,10-07-23,Spain,31,Male,Smart TV,1 Month
2045,Basic,15,02-11-22,08-07-23,Italy,50,Female,Laptop,1 Month
2046,Premium,12,30-10-22,09-07-23,Spain,41,Male,Smartphone,1 Month
2047,Basic,11,30-10-22,09-07-23,Spain,42,Female,Laptop,1 Month
2048,Standard,11,24-10-22,09-07-23,United States,41,Male,Tablet,1 Month
2049,Standard,14,08-10-22,08-07-23,Canada,34,Male,Tablet,1 Month
2050,Basic,13,04-10-22,09-07-23,United States,35,Female,Smartphone,1 Month
2051,Premium,10,28-09-22,09-07-23,United States,48,Male,Smartphone,1 Month
2052,Basic,11,22-09-22,09-07-23,Canada,39,Female,Smart TV,1 Month
2053,Standard,14,19-09-22,09-07-23,United Kingdom,37,Female,Laptop,1 Month
2054,Premium,10,13-09-22,09-07-23,Australia,31,Male,Tablet,1 Month
2055,Basic,14,05-09-22,09-07-23,Germany,29,Female,Laptop,1 Month
2056,Premium,10,20-08-22,09-07-23,France,36,Male,Tablet,1 Month
